id_cliente,consumo_kwh,uso_horario_pico,quantidade_equipamentos,tipo_imovel,horas_alto_consumo,categoria_maior_consumo
1,940.9,False,19,Comercial,10.6,Tecnologia
2,925.6,False,20,Comercial,11.9,Climatização
3,764.2,True,12,Comercial,5.4,Outros
4,762.0,False,6,Comercial,9.9,Iluminação
5,788.8,True,14,Comercial,1.8,Refrigeração
6,671.8,True,18,Casa,11.9,Outros
7,553.7,True,10,Apartamento,10.2,Serviços
8,505.5,True,4,Casa,11.7,Climatização
9,730.9,True,10,Comercial,4.3,Refrigeração
10,307.6,False,5,Apartamento,5.9,Tecnologia
11,904.7,True,22,Comercial,3.5,Serviços
12,947.6,True,21,Comercial,10.3,Serviços
13,412.4,False,16,Apartamento,4.4,Tecnologia
14,474.6,False,19,Apartamento,4.6,Iluminação
15,570.9,False,5,Comercial,0.9,Climatização
16,761.7,False,5,Comercial,10.0,Refrigeração
17,229.7,True,1,Apartamento,1.4,Climatização
18,412.8,True,9,Apartamento,8.4,Iluminação
19,709.4,True,21,Apartamento,8.7,Refrigeração
20,679.3,False,13,Comercial,2.1,Tecnologia
21,499.1,True,11,Casa,1.0,Serviços
22,321.7,True,9,Apartamento,2.3,Eletrodomésticos
23,534.9,False,22,Casa,5.3,Tecnologia
24,552.0,True,6,Casa,5.3,Refrigeração
25,390.5,True,18,Apartamento,3.0,Serviços
26,619.7,True,23,Casa,2.9,Climatização
27,296.3,False,3,Apartamento,5.8,Serviços
28,837.7,False,18,Comercial,6.7,Climatização
29,343.3,False,2,Casa,4.9,Climatização
30,504.4,False,16,Apartamento,9.1,Iluminação
31,494.2,True,16,Apartamento,10.5,Refrigeração
32,357.8,False,7,Casa,0.5,Eletrodomésticos
33,491.2,False,15,Casa,2.8,Iluminação
34,597.0,False,21,Casa,9.1,Refrigeração
35,944.6,True,20,Comercial,6.4,Refrigeração
36,517.0,False,25,Apartamento,8.4,Refrigeração
37,604.1,True,25,Casa,2.1,Eletrodomésticos
38,841.4,True,19,Comercial,4.8,Refrigeração
39,752.4,True,24,Casa,8.9,Climatização
40,592.2,True,23,Apartamento,8.2,Refrigeração
41,423.1,False,19,Apartamento,8.8,Climatização
42,771.6,True,12,Comercial,4.2,Refrigeração
43,696.4,False,13,Comercial,4.9,Eletrodomésticos
44,789.3,True,12,Comercial,5.5,Climatização
45,616.8,False,8,Comercial,3.2,Refrigeração
46,586.3,True,18,Apartamento,10.7,Refrigeração
47,542.9,True,18,Apartamento,10.5,Outros
48,340.1,False,7,Casa,3.0,Climatização
49,658.9,False,21,Casa,9.8,Serviços
50,372.1,False,1,Casa,10.7,Serviços
51,844.0,True,13,Comercial,8.3,Tecnologia
52,576.1,True,22,Casa,1.3,Refrigeração
53,563.8,True,7,Casa,11.6,Eletrodomésticos
54,444.1,False,1,Casa,9.9,Tecnologia
55,266.3,False,7,Apartamento,1.3,Outros
56,549.1,False,8,Casa,9.9,Climatização
57,421.7,False,6,Casa,9.2,Serviços
58,857.7,True,18,Comercial,8.6,Refrigeração
59,841.5,False,25,Comercial,2.0,Climatização
60,611.4,False,3,Comercial,2.6,Serviços
61,583.4,False,21,Casa,9.0,Climatização
62,586.9,True,7,Casa,9.5,Tecnologia
63,902.6,True,15,Comercial,10.1,Climatização
64,463.1,True,3,Apartamento,12.0,Tecnologia
65,768.0,True,3,Comercial,11.6,Refrigeração
66,426.9,False,14,Apartamento,11.7,Refrigeração
67,952.7,True,20,Comercial,8.2,Refrigeração
68,308.4,False,6,Casa,2.2,Climatização
69,372.9,False,7,Casa,3.7,Outros
70,303.6,False,1,Casa,3.6,Outros
71,728.4,True,20,Casa,4.3,Outros
72,708.7,False,10,Comercial,2.1,Tecnologia
73,368.9,True,3,Apartamento,10.5,Serviços
74,706.6,False,6,Comercial,11.0,Eletrodomésticos
75,324.9,True,4,Apartamento,4.1,Serviços
76,655.9,False,22,Casa,11.5,Climatização
77,365.6,True,4,Casa,1.5,Climatização
78,850.9,False,23,Comercial,3.4,Refrigeração
79,657.2,False,5,Comercial,10.5,Climatização
80,637.3,True,3,Comercial,1.4,Refrigeração
81,740.0,False,19,Comercial,1.8,Refrigeração
82,301.1,False,6,Apartamento,6.6,Iluminação
83,742.5,True,10,Comercial,7.8,Serviços
84,429.9,True,3,Apartamento,11.3,Iluminação
85,605.2,False,21,Casa,10.7,Serviços
