id_cliente,consumo_kwh,uso_horario_pico,quantidade_equipamentos,tipo_imovel,horas_alto_consumo,categoria_maior_consumo,categoria
1,940.9,0,19,Comercial,10.6,Tecnologia,Mediano
2,925.6,0,20,Comercial,11.9,Climatização,Mediano
3,764.2,1,12,Comercial,5.4,Outros,Ruim
4,762.0,0,6,Comercial,9.9,Iluminação,Excelente
5,788.8,1,14,Comercial,1.8,Refrigeração,Mediano
6,671.8,1,18,Casa,11.9,Outros,Crítico
7,553.7,1,10,Apartamento,10.2,Serviços,Crítico
8,505.5,1,4,Casa,11.7,Climatização,Ruim
9,730.9,1,10,Comercial,4.3,Refrigeração,Mediano
10,307.6,0,5,Apartamento,5.9,Tecnologia,Excelente
11,904.7,1,22,Comercial,3.5,Serviços,Ruim
12,947.6,1,21,Comercial,10.3,Serviços,Crítico
13,412.4,0,16,Apartamento,4.4,Tecnologia,Bom
14,474.6,0,19,Apartamento,4.6,Iluminação,Mediano
15,570.9,0,5,Comercial,0.9,Climatização,Excelente
16,761.7,0,5,Comercial,10.0,Refrigeração,Excelente
17,229.7,1,1,Apartamento,1.4,Climatização,Bom
18,412.8,1,9,Apartamento,8.4,Iluminação,Crítico
19,709.4,1,21,Apartamento,8.7,Refrigeração,Crítico
20,679.3,0,13,Comercial,2.1,Tecnologia,Excelente
21,499.1,1,11,Casa,1.0,Serviços,Mediano
22,321.7,1,9,Apartamento,2.3,Eletrodomésticos,Mediano
23,534.9,0,22,Casa,5.3,Tecnologia,Bom
24,552.0,1,6,Casa,5.3,Refrigeração,Ruim
25,390.5,1,18,Apartamento,3.0,Serviços,Ruim
26,619.7,1,23,Casa,2.9,Climatização,Crítico
27,296.3,0,3,Apartamento,5.8,Serviços,Excelente
28,837.7,0,18,Comercial,6.7,Climatização,Bom
29,343.3,0,2,Casa,4.9,Climatização,Excelente
30,504.4,0,16,Apartamento,9.1,Iluminação,Mediano
31,494.2,1,16,Apartamento,10.5,Refrigeração,Crítico
32,357.8,0,7,Casa,0.5,Eletrodomésticos,Excelente
33,491.2,0,15,Casa,2.8,Iluminação,Bom
34,597.0,0,21,Casa,9.1,Refrigeração,Mediano
35,944.6,1,20,Comercial,6.4,Refrigeração,Ruim
36,517.0,0,25,Apartamento,8.4,Refrigeração,Ruim
37,604.1,1,25,Casa,2.1,Eletrodomésticos,Crítico
38,841.4,1,19,Comercial,4.8,Refrigeração,Ruim
39,752.4,1,24,Casa,8.9,Climatização,Crítico
40,592.2,1,23,Apartamento,8.2,Refrigeração,Crítico
41,423.1,0,19,Apartamento,8.8,Climatização,Mediano
42,771.6,1,12,Comercial,4.2,Refrigeração,Mediano
43,696.4,0,13,Comercial,4.9,Eletrodomésticos,Excelente
44,789.3,1,12,Comercial,5.5,Climatização,Ruim
45,616.8,0,8,Comercial,3.2,Refrigeração,Excelente
46,586.3,1,18,Apartamento,10.7,Refrigeração,Crítico
47,542.9,1,18,Apartamento,10.5,Outros,Crítico
48,340.1,0,7,Casa,3.0,Climatização,Excelente
49,658.9,0,21,Casa,9.8,Serviços,Mediano
50,372.1,0,1,Casa,10.7,Serviços,Excelente
51,844.0,1,13,Comercial,8.3,Tecnologia,Ruim
52,576.1,1,22,Casa,1.3,Refrigeração,Ruim
53,563.8,1,7,Casa,11.6,Eletrodomésticos,Ruim
54,444.1,0,1,Casa,9.9,Tecnologia,Excelente
55,266.3,0,7,Apartamento,1.3,Outros,Excelente
56,549.1,0,8,Casa,9.9,Climatização,Bom
57,421.7,0,6,Casa,9.2,Serviços,Bom
58,857.7,1,18,Comercial,8.6,Refrigeração,Ruim
59,841.5,0,25,Comercial,2.0,Climatização,Bom
60,611.4,0,3,Comercial,2.6,Serviços,Excelente
61,583.4,0,21,Casa,9.0,Climatização,Mediano
62,586.9,1,7,Casa,9.5,Tecnologia,Ruim
63,902.6,1,15,Comercial,10.1,Climatização,Ruim
64,463.1,1,3,Apartamento,12.0,Tecnologia,Crítico
65,768.0,1,3,Comercial,11.6,Refrigeração,Ruim
66,426.9,0,14,Apartamento,11.7,Refrigeração,Mediano
67,952.7,1,20,Comercial,8.2,Refrigeração,Crítico
68,308.4,0,6,Casa,2.2,Climatização,Excelente
69,372.9,0,7,Casa,3.7,Outros,Excelente
70,303.6,0,1,Casa,3.6,Outros,Excelente
71,728.4,1,20,Casa,4.3,Outros,Crítico
72,708.7,0,10,Comercial,2.1,Tecnologia,Excelente
73,368.9,1,3,Apartamento,10.5,Serviços,Ruim
74,706.6,0,6,Comercial,11.0,Eletrodomésticos,Bom
75,324.9,1,4,Apartamento,4.1,Serviços,Mediano
76,655.9,0,22,Casa,11.5,Climatização,Mediano
77,365.6,1,4,Casa,1.5,Climatização,Bom
78,850.9,0,23,Comercial,3.4,Refrigeração,Bom
79,657.2,0,5,Comercial,10.5,Climatização,Excelente
80,637.3,1,3,Comercial,1.4,Refrigeração,Bom
81,740.0,0,19,Comercial,1.8,Refrigeração,Excelente
82,301.1,0,6,Apartamento,6.6,Iluminação,Excelente
83,742.5,1,10,Comercial,7.8,Serviços,Ruim
84,429.9,1,3,Apartamento,11.3,Iluminação,Ruim
85,605.2,0,21,Casa,10.7,Serviços,Mediano
86,546.0,0,15,Casa,6.5,Eletrodomésticos,Bom
87,692.0,1,10,Casa,11.8,Refrigeração,Crítico
88,490.6,1,17,Apartamento,11.8,Tecnologia,Crítico
89,791.6,0,10,Comercial,10.1,Outros,Bom
90,415.0,0,6,Casa,4.6,Eletrodomésticos,Excelente
91,512.8,0,20,Casa,5.0,Outros,Bom
92,512.0,1,22,Apartamento,5.3,Tecnologia,Crítico
93,659.6,0,25,Casa,9.3,Climatização,Mediano
94,754.3,1,9,Comercial,5.6,Climatização,Mediano
95,788.2,1,16,Comercial,1.8,Refrigeração,Mediano
96,551.8,0,20,Apartamento,11.0,Tecnologia,Ruim
97,561.2,0,25,Casa,10.4,Outros,Mediano
98,951.1,0,20,Comercial,9.1,Climatização,Bom
99,460.6,0,9,Casa,5.1,Eletrodomésticos,Excelente
100,754.0,1,19,Comercial,0.3,Refrigeração,Mediano
101,403.4,1,11,Casa,1.5,Outros,Mediano
102,482.7,0,24,Apartamento,0.3,Serviços,Mediano
103,600.7,0,25,Casa,6.0,Tecnologia,Mediano
104,871.4,1,17,Comercial,7.4,Refrigeração,Ruim
105,404.0,0,11,Casa,1.7,Refrigeração,Excelente
106,754.8,1,12,Comercial,2.1,Refrigeração,Mediano
107,798.3,1,11,Comercial,9.8,Eletrodomésticos,Ruim
108,525.3,0,22,Casa,9.8,Iluminação,Mediano
109,279.7,0,1,Apartamento,8.9,Serviços,Excelente
110,832.8,0,22,Comercial,4.2,Refrigeração,Bom
111,429.7,0,4,Casa,9.5,Climatização,Excelente
112,431.7,0,11,Apartamento,7.2,Iluminação,Bom
113,599.8,0,25,Apartamento,7.0,Serviços,Ruim
114,396.5,0,7,Casa,5.0,Eletrodomésticos,Excelente
115,525.9,0,22,Casa,1.3,Eletrodomésticos,Bom
116,533.7,1,17,Apartamento,4.5,Refrigeração,Crítico
117,657.7,1,13,Casa,7.1,Serviços,Crítico
118,712.8,1,16,Casa,12.0,Iluminação,Crítico
119,320.3,1,5,Apartamento,7.8,Tecnologia,Ruim
120,487.4,1,8,Apartamento,11.6,Eletrodomésticos,Crítico
121,543.8,1,16,Casa,1.5,Tecnologia,Ruim
122,500.3,1,8,Casa,4.2,Eletrodomésticos,Mediano
123,382.5,0,7,Apartamento,6.1,Eletrodomésticos,Bom
124,747.5,0,16,Comercial,5.2,Iluminação,Bom
125,727.4,1,4,Comercial,9.5,Climatização,Mediano
126,638.5,1,14,Casa,9.3,Tecnologia,Crítico
127,506.5,0,21,Apartamento,9.5,Tecnologia,Ruim
128,508.6,0,11,Casa,5.9,Climatização,Bom
129,621.5,0,2,Comercial,8.3,Refrigeração,Excelente
130,735.8,1,18,Comercial,0.5,Iluminação,Mediano
131,709.9,1,22,Apartamento,9.0,Iluminação,Crítico
132,318.0,1,8,Apartamento,1.1,Tecnologia,Mediano
133,740.3,0,22,Casa,11.3,Refrigeração,Ruim
134,404.5,0,16,Apartamento,6.8,Refrigeração,Bom
135,419.4,0,6,Casa,4.3,Iluminação,Excelente
136,798.3,1,24,Comercial,3.1,Outros,Ruim
137,421.3,0,13,Casa,1.0,Iluminação,Excelente
138,428.7,1,7,Apartamento,7.6,Tecnologia,Ruim
139,560.5,0,24,Apartamento,6.3,Eletrodomésticos,Ruim
140,488.3,0,10,Apartamento,11.5,Iluminação,Mediano
141,287.1,1,3,Apartamento,4.0,Climatização,Mediano
142,959.9,1,20,Comercial,9.4,Climatização,Crítico
143,637.6,1,8,Comercial,4.0,Refrigeração,Mediano
144,356.6,0,7,Apartamento,10.4,Outros,Bom
145,548.4,0,21,Casa,4.3,Serviços,Bom
146,621.5,0,25,Apartamento,7.9,Outros,Ruim
147,378.6,1,6,Apartamento,7.4,Outros,Ruim
148,489.6,0,5,Casa,7.4,Iluminação,Excelente
149,867.5,0,21,Comercial,8.4,Refrigeração,Bom
150,433.9,1,12,Apartamento,6.8,Serviços,Crítico
151,302.6,0,8,Apartamento,1.8,Iluminação,Excelente
152,916.3,1,24,Comercial,10.2,Refrigeração,Crítico
153,448.7,1,9,Casa,8.8,Climatização,Ruim
154,709.4,1,7,Comercial,10.6,Refrigeração,Ruim
155,653.5,0,15,Casa,8.8,Tecnologia,Mediano
156,413.4,1,3,Apartamento,11.7,Iluminação,Ruim
157,455.2,1,22,Apartamento,4.4,Refrigeração,Crítico
158,495.3,0,24,Apartamento,5.0,Eletrodomésticos,Mediano
159,715.2,0,9,Comercial,8.6,Eletrodomésticos,Excelente
160,1026.9,1,24,Comercial,5.2,Climatização,Crítico
161,843.1,1,10,Comercial,11.7,Iluminação,Ruim
162,755.8,0,18,Comercial,6.7,Climatização,Bom
163,465.1,0,11,Casa,4.5,Iluminação,Excelente
164,379.3,0,8,Casa,6.9,Iluminação,Excelente
165,472.0,1,14,Apartamento,11.3,Climatização,Crítico
166,474.4,1,13,Apartamento,8.5,Outros,Crítico
167,543.1,1,18,Apartamento,6.7,Refrigeração,Crítico
168,677.9,1,25,Apartamento,8.3,Iluminação,Crítico
169,541.4,1,15,Apartamento,10.6,Tecnologia,Crítico
170,617.2,0,23,Casa,3.8,Iluminação,Bom
171,591.0,1,6,Casa,11.5,Outros,Ruim
172,483.4,0,12,Casa,5.4,Climatização,Bom
173,720.6,1,14,Casa,10.8,Outros,Crítico
174,793.3,1,15,Comercial,6.2,Refrigeração,Ruim
175,413.6,0,2,Casa,11.7,Tecnologia,Excelente
176,509.7,1,5,Casa,9.9,Iluminação,Ruim
177,541.9,0,1,Comercial,0.6,Climatização,Excelente
178,791.2,1,23,Comercial,5.1,Refrigeração,Ruim
179,285.2,1,6,Apartamento,1.2,Refrigeração,Mediano
180,734.9,1,15,Comercial,5.2,Climatização,Ruim
181,867.2,1,25,Comercial,6.5,Climatização,Crítico
182,364.6,1,9,Apartamento,4.0,Tecnologia,Ruim
