ENTREVISTA,REGIAO,UF,MUNICIPIO,qtd_geladeira,kwh_geladeira,kwh_categoria_refrigeracao
52641,Norte,RR,Boa Vista,1.0,45.0,45.0
52642,Norte,RR,Boa Vista,1.0,45.0,45.0
52643,Norte,RR,Boa Vista,1.0,45.0,45.0
52647,Norte,RR,Boa Vista,1.0,45.0,45.0
52649,Norte,RR,Boa Vista,1.0,45.0,45.0
52651,Norte,RR,Boa Vista,1.0,45.0,45.0
52652,Norte,RR,Boa Vista,1.0,45.0,45.0
52654,Norte,RR,Boa Vista,1.0,45.0,45.0
52655,Norte,RR,Boa Vista,1.0,45.0,45.0
52656,Norte,RR,Boa Vista,1.0,45.0,45.0
52657,Norte,RR,Boa Vista,1.0,45.0,45.0
52658,Norte,RR,Boa Vista,1.0,45.0,45.0
52659,Norte,RR,Boa Vista,1.0,45.0,45.0
52660,Norte,RR,Boa Vista,2.0,90.0,90.0
52661,Norte,RR,Boa Vista,1.0,45.0,45.0
52663,Norte,RR,Boa Vista,1.0,45.0,45.0
52666,Norte,RR,Boa Vista,1.0,45.0,45.0
52669,Norte,RR,Boa Vista,1.0,45.0,45.0
52670,Norte,RR,Boa Vista,1.0,45.0,45.0
52672,Norte,RR,Boa Vista,1.0,45.0,45.0
52673,Norte,RR,Boa Vista,1.0,45.0,45.0
52674,Norte,RR,Boa Vista,3.0,135.0,135.0
52675,Norte,RR,Boa Vista,1.0,45.0,45.0
52676,Norte,RR,Boa Vista,1.0,45.0,45.0
52682,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52683,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52684,Nordeste,CE,Fortaleza,2.0,90.0,90.0
52685,Norte,RR,Boa Vista,1.0,45.0,45.0
52687,Norte,RR,Boa Vista,1.0,45.0,45.0
52689,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52690,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52692,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52693,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52694,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52696,Norte,RR,Boa Vista,1.0,45.0,45.0
52697,Norte,RR,Boa Vista,1.0,45.0,45.0
52699,Norte,RR,Boa Vista,1.0,45.0,45.0
52700,Norte,RR,Boa Vista,1.0,45.0,45.0
52701,Norte,RR,Boa Vista,1.0,45.0,45.0
52702,Norte,RR,Boa Vista,1.0,45.0,45.0
52703,Norte,RR,Boa Vista,1.0,45.0,45.0
52705,Norte,RR,Boa Vista,1.0,45.0,45.0
52706,Norte,RR,Boa Vista,1.0,45.0,45.0
52708,Norte,RR,Boa Vista,1.0,45.0,45.0
52710,Norte,RR,Boa Vista,2.0,90.0,90.0
52711,Norte,RR,Boa Vista,2.0,90.0,90.0
52712,Norte,RR,Boa Vista,1.0,45.0,45.0
52714,Norte,RR,Boa Vista,2.0,90.0,90.0
52715,Norte,RR,Boa Vista,1.0,45.0,45.0
52716,Norte,RR,Boa Vista,1.0,45.0,45.0
52717,Norte,RR,Boa Vista,1.0,45.0,45.0
52718,Norte,RR,Boa Vista,1.0,45.0,45.0
52719,Norte,RR,Boa Vista,1.0,45.0,45.0
52720,Norte,RR,Boa Vista,1.0,45.0,45.0
52721,Norte,RR,Boa Vista,1.0,45.0,45.0
52722,Norte,RR,Boa Vista,1.0,45.0,45.0
52723,Norte,RR,Boa Vista,1.0,45.0,45.0
52724,Norte,RR,Boa Vista,1.0,45.0,45.0
52725,Norte,RR,Boa Vista,2.0,90.0,90.0
52728,Norte,RR,Boa Vista,1.0,45.0,45.0
52729,Norte,RR,Boa Vista,2.0,90.0,90.0
52731,Norte,RR,Boa Vista,1.0,45.0,45.0
52732,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52733,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52734,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52736,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52737,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52738,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52739,Norte,RR,Boa Vista,1.0,45.0,45.0
52740,Norte,RR,Boa Vista,1.0,45.0,45.0
52743,Norte,RR,Boa Vista,1.0,45.0,45.0
52744,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52745,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52747,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52748,Norte,RR,Boa Vista,1.0,45.0,45.0
52749,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52750,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52751,Norte,RR,Boa Vista,1.0,45.0,45.0
52753,Norte,RR,Boa Vista,1.0,45.0,45.0
52754,Norte,RR,Boa Vista,1.0,45.0,45.0
52755,Norte,RR,Boa Vista,2.0,90.0,90.0
52756,Norte,RR,Boa Vista,1.0,45.0,45.0
52757,Norte,RR,Boa Vista,0.0,0.0,0.0
52758,Norte,RR,Boa Vista,1.0,45.0,45.0
52759,Norte,RR,Boa Vista,1.0,45.0,45.0
52760,Norte,RR,Boa Vista,1.0,45.0,45.0
52761,Norte,RR,Boa Vista,2.0,90.0,90.0
52762,Norte,RR,Boa Vista,1.0,45.0,45.0
52763,Norte,RR,Boa Vista,1.0,45.0,45.0
52764,Norte,RR,Boa Vista,1.0,45.0,45.0
52765,Norte,RR,Boa Vista,1.0,45.0,45.0
52766,Norte,RR,Boa Vista,1.0,45.0,45.0
52767,Norte,RR,Boa Vista,1.0,45.0,45.0
52768,Norte,RR,Boa Vista,1.0,45.0,45.0
52769,Norte,RR,Boa Vista,1.0,45.0,45.0
52770,Norte,RR,Boa Vista,1.0,45.0,45.0
52771,Norte,RR,Boa Vista,2.0,90.0,90.0
52772,Norte,RR,Boa Vista,1.0,45.0,45.0
52773,Norte,RR,Boa Vista,1.0,45.0,45.0
52774,Norte,RR,Boa Vista,1.0,45.0,45.0
52775,Norte,RR,Boa Vista,1.0,45.0,45.0
52776,Norte,RR,Boa Vista,1.0,45.0,45.0
52777,Norte,RR,Boa Vista,1.0,45.0,45.0
52778,Norte,RR,Boa Vista,1.0,45.0,45.0
52780,Norte,RR,Boa Vista,1.0,45.0,45.0
52782,Norte,RR,Boa Vista,2.0,90.0,90.0
52783,Norte,RR,Boa Vista,0.0,0.0,0.0
52786,Norte,RR,Boa Vista,1.0,45.0,45.0
52787,Norte,RR,Boa Vista,1.0,45.0,45.0
52788,Norte,RR,Boa Vista,1.0,45.0,45.0
52789,Norte,RR,Boa Vista,1.0,45.0,45.0
52790,Norte,RR,Boa Vista,1.0,45.0,45.0
52791,Norte,RR,Boa Vista,1.0,45.0,45.0
52792,Norte,RR,Boa Vista,1.0,45.0,45.0
52793,Norte,RR,Boa Vista,1.0,45.0,45.0
52795,Norte,RR,Boa Vista,1.0,45.0,45.0
52796,Norte,RR,Boa Vista,1.0,45.0,45.0
52798,Norte,RR,Boa Vista,1.0,45.0,45.0
52799,Norte,RR,Boa Vista,1.0,45.0,45.0
52800,Norte,RR,Boa Vista,1.0,45.0,45.0
52801,Norte,RR,Boa Vista,1.0,45.0,45.0
52803,Norte,RR,Boa Vista,1.0,45.0,45.0
52804,Norte,RR,Boa Vista,1.0,45.0,45.0
52806,Norte,RR,Boa Vista,2.0,90.0,90.0
52807,Norte,RR,Boa Vista,1.0,45.0,45.0
52808,Norte,RR,Boa Vista,1.0,45.0,45.0
52809,Norte,RR,Boa Vista,1.0,45.0,45.0
52811,Norte,RR,Boa Vista,1.0,45.0,45.0
52812,Norte,RR,Boa Vista,1.0,45.0,45.0
52814,Norte,RR,Boa Vista,1.0,45.0,45.0
52815,Norte,RR,Boa Vista,1.0,45.0,45.0
52816,Norte,RR,Boa Vista,1.0,45.0,45.0
52817,Norte,RR,Boa Vista,2.0,90.0,90.0
52818,Norte,RR,Boa Vista,1.0,45.0,45.0
52819,Norte,RR,Boa Vista,1.0,45.0,45.0
52820,Norte,RR,Boa Vista,1.0,45.0,45.0
52821,Norte,RR,Boa Vista,1.0,45.0,45.0
52822,Norte,RR,Boa Vista,1.0,45.0,45.0
52823,Norte,RR,Boa Vista,1.0,45.0,45.0
52824,Norte,RR,Boa Vista,2.0,90.0,90.0
52825,Norte,RR,Boa Vista,1.0,45.0,45.0
52826,Norte,RR,Boa Vista,1.0,45.0,45.0
52827,Norte,RR,Boa Vista,1.0,45.0,45.0
52828,Norte,RR,Boa Vista,1.0,45.0,45.0
52829,Norte,RR,Boa Vista,1.0,45.0,45.0
52830,Norte,RR,Boa Vista,1.0,45.0,45.0
52831,Norte,RR,Boa Vista,1.0,45.0,45.0
52832,Norte,RR,Boa Vista,1.0,45.0,45.0
52833,Norte,RR,Boa Vista,1.0,45.0,45.0
52834,Norte,RR,Boa Vista,1.0,45.0,45.0
52835,Norte,RR,Boa Vista,1.0,45.0,45.0
52836,Norte,RR,Boa Vista,1.0,45.0,45.0
52837,Norte,RR,Boa Vista,1.0,45.0,45.0
52838,Norte,RR,Boa Vista,1.0,45.0,45.0
52839,Norte,RR,Boa Vista,1.0,45.0,45.0
52840,Norte,RR,Boa Vista,1.0,45.0,45.0
52841,Norte,RR,Boa Vista,1.0,45.0,45.0
52842,Norte,RR,Boa Vista,0.0,0.0,0.0
52843,Norte,RR,Boa Vista,1.0,45.0,45.0
52844,Norte,RR,Boa Vista,1.0,45.0,45.0
52845,Norte,RR,Boa Vista,1.0,45.0,45.0
52846,Norte,RR,Boa Vista,1.0,45.0,45.0
52847,Norte,RR,Boa Vista,1.0,45.0,45.0
52849,Norte,RR,Boa Vista,1.0,45.0,45.0
52850,Norte,RR,Boa Vista,2.0,90.0,90.0
52851,Norte,RR,Boa Vista,1.0,45.0,45.0
52852,Norte,RR,Boa Vista,0.0,0.0,0.0
52853,Norte,RR,Boa Vista,1.0,45.0,45.0
52854,Norte,RR,Boa Vista,1.0,45.0,45.0
52855,Norte,RR,Boa Vista,1.0,45.0,45.0
52856,Norte,RR,Boa Vista,1.0,45.0,45.0
52857,Norte,RR,Boa Vista,1.0,45.0,45.0
52858,Norte,RR,Boa Vista,1.0,45.0,45.0
52861,Norte,RR,Boa Vista,1.0,45.0,45.0
52862,Norte,RR,Boa Vista,1.0,45.0,45.0
52863,Norte,RR,Boa Vista,1.0,45.0,45.0
52864,Norte,RR,Boa Vista,1.0,45.0,45.0
52865,Norte,RR,Boa Vista,1.0,45.0,45.0
52866,Norte,RR,Boa Vista,1.0,45.0,45.0
52867,Norte,RR,Boa Vista,1.0,45.0,45.0
