ENTREVISTA,REGIAO,UF,MUNICIPIO,qtd_geladeira,kwh_geladeira,qtd_chuveiro_eletrico,kwh_chuveiro_eletrico,qtd_ventilador,kwh_ventilador
52641,Norte,RR,Boa Vista,1.0,45.0,2.0,0.0,1.0,4.1160000000000005
52642,Norte,RR,Boa Vista,1.0,45.0,5.0,0.0,0.0,0.0
52643,Norte,RR,Boa Vista,1.0,45.0,2.0,0.0,2.0,0.023333333333333334
52647,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,4.0,54.989999999999995
52649,Norte,RR,Boa Vista,1.0,45.0,3.0,0.0,1.0,9.870000000000001
52651,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,53.298
52652,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,24.696000000000005
52654,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,35.532000000000004
52655,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,19.740000000000002
52656,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,0.5786083333333334
52657,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,3.8150000000000004
52658,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,6.860000000000001
52659,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,4.0,98.78400000000002
52660,Norte,RR,Boa Vista,2.0,90.0,2.0,0.0,2.0,49.39200000000001
52661,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,4.0,27.440000000000005
52663,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,53.298
52666,Norte,RR,Boa Vista,1.0,45.0,2.0,0.0,0.0,0.0
52669,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,0.0
52670,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,35.532000000000004
52672,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,35.532000000000004
52673,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,106.596
52674,Norte,RR,Boa Vista,3.0,135.0,3.0,0.0,3.0,106.596
52675,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,5.418000000000001
52676,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,4.0,142.12800000000001
52682,Nordeste,CE,Fortaleza,1.0,45.0,1.0,0.0,2.0,35.532000000000004
52683,Nordeste,CE,Fortaleza,1.0,45.0,1.0,0.0,2.0,35.532000000000004
52684,Nordeste,CE,Fortaleza,2.0,90.0,3.0,0.0,2.0,11.844000000000001
52685,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,0.0,0.0
52687,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,0.0,0.0
52689,Nordeste,CE,Fortaleza,1.0,45.0,2.0,0.0,2.0,71.06400000000001
52690,Nordeste,CE,Fortaleza,1.0,45.0,1.0,0.0,1.0,17.766000000000002
52692,Nordeste,CE,Fortaleza,1.0,45.0,1.0,0.0,1.0,0.21000000000000002
52693,Nordeste,CE,Fortaleza,1.0,45.0,1.0,0.0,2.0,71.06400000000001
52694,Nordeste,CE,Fortaleza,1.0,45.0,1.0,0.0,1.0,35.532000000000004
52696,Norte,RR,Boa Vista,1.0,45.0,2.0,0.0,1.0,9.870000000000001
52697,Norte,RR,Boa Vista,1.0,45.0,2.0,0.0,1.0,5.922000000000001
52699,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,9.870000000000001
52700,Norte,RR,Boa Vista,1.0,45.0,3.0,0.0,1.0,9.870000000000001
52701,Norte,RR,Boa Vista,1.0,45.0,2.0,0.0,1.0,0.04783333333333334
52702,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,53.298
52703,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,0.0
52705,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,5.0,88.83000000000001
52706,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,17.766000000000002
52708,Norte,RR,Boa Vista,1.0,45.0,2.0,0.0,1.0,5.922000000000001
52710,Norte,RR,Boa Vista,2.0,90.0,1.0,0.0,4.0,39.480000000000004
52711,Norte,RR,Boa Vista,2.0,90.0,2.0,0.0,3.0,8.883000000000001
52712,Norte,RR,Boa Vista,1.0,45.0,2.0,0.0,3.0,53.298
52714,Norte,RR,Boa Vista,2.0,90.0,2.0,0.0,4.0,71.06400000000001
52715,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,1.1445
52716,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,35.532000000000004
52717,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,71.06400000000001
52718,Norte,RR,Boa Vista,1.0,45.0,2.0,0.0,2.0,11.844000000000001
52719,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,35.532000000000004
52720,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,0.0,0.0
52721,Norte,RR,Boa Vista,1.0,45.0,2.0,0.0,2.0,9.870000000000001
52722,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,35.532000000000004
52723,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,19.740000000000002
52724,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,29.61
52725,Norte,RR,Boa Vista,2.0,90.0,1.0,0.0,2.0,13.734000000000004
52728,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,5.922000000000001
52729,Norte,RR,Boa Vista,2.0,90.0,2.0,0.0,3.0,53.298
52731,Norte,RR,Boa Vista,1.0,45.0,2.0,0.0,2.0,35.532000000000004
52732,Nordeste,CE,Fortaleza,1.0,45.0,1.0,0.0,1.0,17.766000000000002
52733,Nordeste,CE,Fortaleza,1.0,45.0,1.0,0.0,2.0,71.06400000000001
52734,Nordeste,CE,Fortaleza,1.0,45.0,1.0,0.0,1.0,17.766000000000002
52736,Nordeste,CE,Fortaleza,1.0,45.0,2.0,0.0,3.0,106.596
52737,Nordeste,CE,Fortaleza,1.0,45.0,1.0,0.0,1.0,17.766000000000002
52738,Nordeste,CE,Fortaleza,1.0,45.0,1.0,0.0,1.0,35.532000000000004
52739,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,41.202000000000005
52740,Norte,RR,Boa Vista,1.0,45.0,3.0,0.0,3.0,29.61
52743,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,0.0,0.0
52744,Nordeste,CE,Fortaleza,1.0,45.0,1.0,0.0,0.0,0.0
52745,Nordeste,CE,Fortaleza,1.0,45.0,1.0,0.0,0.0,0.0
52747,Nordeste,CE,Fortaleza,1.0,45.0,1.0,0.0,2.0,35.532000000000004
52748,Norte,RR,Boa Vista,1.0,45.0,3.0,0.0,0.0,0.0
52749,Nordeste,CE,Fortaleza,1.0,45.0,1.0,0.0,2.0,71.06400000000001
52750,Nordeste,CE,Fortaleza,1.0,45.0,1.0,0.0,2.0,35.532000000000004
52751,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,17.766000000000002
52753,Norte,RR,Boa Vista,1.0,45.0,3.0,0.0,2.0,19.740000000000002
52754,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,53.298
52755,Norte,RR,Boa Vista,2.0,90.0,1.0,0.0,4.0,39.480000000000004
52756,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,17.766000000000002
52757,Norte,RR,Boa Vista,0.0,0.0,1.0,0.0,1.0,9.870000000000001
52758,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,28.2
52759,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,19.740000000000002
52760,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,12.348000000000003
52761,Norte,RR,Boa Vista,2.0,90.0,2.0,0.0,0.0,0.0
52762,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,106.596
52763,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,4.1160000000000005
52764,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,17.766000000000002
52765,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,19.740000000000002
52766,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,5.922000000000001
52767,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,3.0100000000000002
52768,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,1.0404333333333335
52769,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,4.0,71.06400000000001
52770,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,17.766000000000002
52771,Norte,RR,Boa Vista,2.0,90.0,1.0,0.0,2.0,35.532000000000004
52772,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,19.740000000000002
52773,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,0.0,0.0
52774,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,0.0,0.0
52775,Norte,RR,Boa Vista,1.0,45.0,2.0,0.0,2.0,35.532000000000004
52776,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,19.740000000000002
52777,Norte,RR,Boa Vista,1.0,45.0,2.0,0.0,1.0,17.766000000000002
52778,Norte,RR,Boa Vista,1.0,45.0,2.0,0.0,1.0,17.766000000000002
52780,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,35.532000000000004
52782,Norte,RR,Boa Vista,2.0,90.0,1.0,0.0,3.0,29.61
52783,Norte,RR,Boa Vista,0.0,0.0,1.0,0.0,1.0,17.766000000000002
52786,Norte,RR,Boa Vista,1.0,45.0,3.0,0.0,0.0,0.0
52787,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,0.10616666666666667
52788,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,106.596
52789,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,11.844000000000001
52790,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,11.844000000000001
52791,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,0.658
52792,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,0.6744500000000001
52793,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,106.596
52795,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,0.05308333333333334
52796,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,17.766000000000002
52798,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,0.0,0.0
52799,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,5.922000000000001
52800,Norte,RR,Boa Vista,1.0,45.0,2.0,0.0,2.0,4.578
52801,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,35.532000000000004
52803,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,35.532000000000004
52804,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,35.532000000000004
52806,Norte,RR,Boa Vista,2.0,90.0,2.0,0.0,2.0,19.740000000000002
52807,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,35.532000000000004
52808,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,4.0,71.06400000000001
52809,Norte,RR,Boa Vista,1.0,45.0,3.0,0.0,3.0,35.56616666666667
52811,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,17.766000000000002
52812,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,35.532000000000004
52814,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,19.740000000000002
52815,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,53.298
52816,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,17.766000000000002
52817,Norte,RR,Boa Vista,2.0,90.0,2.0,0.0,3.0,60.912000000000006
52818,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,35.532000000000004
52819,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,2.289
52820,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,35.532000000000004
52821,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,53.298
52822,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,35.532000000000004
52823,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,17.766000000000002
52824,Norte,RR,Boa Vista,2.0,90.0,1.0,0.0,4.0,142.12800000000001
52825,Norte,RR,Boa Vista,1.0,45.0,2.0,0.0,0.0,0.0
52826,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,71.06400000000001
52827,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,53.298
52828,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,35.532000000000004
52829,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,35.532000000000004
52830,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,35.532000000000004
52831,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,2.0,35.532000000000004
52832,Norte,RR,Boa Vista,1.0,45.0,2.0,0.0,1.0,0.22825833333333334
52833,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,0.0,0.0
52834,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,17.766000000000002
52835,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,53.298
52836,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,0.684775
52837,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,1.0,9.870000000000001
52838,Norte,RR,Boa Vista,1.0,45.0,1.0,0.0,3.0,29.61
