ENTREVISTA,REGIAO,UF,MUNICIPIO,qtd_geladeira,qtd_ar_condicionado,qtd_ventilador,qtd_lampadas,qtd_microondas,qtd_air_fryer,qtd_lavar_secar,qtd_computadores,qtd_videogame,qtd_tv,qtd_chuveiro_eletrico,kwh_categoria_iluminacao,kwh_categoria_refrigeracao,kwh_categoria_climatizacao,kwh_categoria_eletrodomesticos,kwh_categoria_tecnologia,consumo_real_medio_kwh_mes,habito_compra_consciente,habito_desliga_tv_sem_uso,habito_evita_standby,habito_ac_portas_fechadas,habito_ac_desliga_ausencia,habito_evita_banho_longo,habito_chuveiro_posicao_verao,habito_geladeira_porta_fechada,habito_geladeira_alimentos_frios,habito_geladeira_termostato,habito_geladeira_nao_seca_roupa,habito_geladeira_borracha_vedacao,habito_lava_roupa_carga_maxima,habito_prefere_lampada_led,habito_evita_luz_dia,habito_apaga_luz_ambiente_vazio,produtos_maior_consumo,categoria_maior_consumo,qtd_freezer,kwh_freezer,qtd_frigobar,kwh_frigobar,qtd_bebedouro,kwh_bebedouro,qtd_ar_condicionado_split,kwh_ar_condicionado_split,qtd_aquecedor_eletrico,kwh_aquecedor_eletrico,qtd_computador_desktop,kwh_computador_desktop,qtd_notebook,kwh_notebook,qtd_roteador_wifi,kwh_roteador_wifi,qtd_maquina_lavar,kwh_maquina_lavar,qtd_secadora_roupas,kwh_secadora_roupas,qtd_cafeteira_eletrica,kwh_cafeteira_eletrica,qtd_ferro_passar,kwh_ferro_passar,qtd_aspirador_po,kwh_aspirador_po,qtd_liquidificador,kwh_liquidificador,qtd_batedeira,kwh_batedeira,qtd_bomba_dagua,kwh_bomba_dagua,qtd_portao_eletrico,kwh_portao_eletrico,qtd_motor_piscina,kwh_motor_piscina,qtd_forno_eletrico,kwh_forno_eletrico,qtd_fogao_eletrico,kwh_fogao_eletrico
52641,Norte,RR,Boa Vista,1.0,2.0,1.0,17.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,9.54,45.0,4.1160000000000005,0.0,0.0,,Sempre,Sempre,Sempre,Sempre,Sempre,,,Sempre,Nunca,Nunca,Nunca,Nunca,Sempre,Raramente,Raramente,Sempre,Geladeira|Lâmpada Fluorescente|Ventilador,Refrigeração,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1,0.2,0,0.0,1,0.1,1,0.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52642,Norte,RR,Boa Vista,1.0,4.0,0.0,24.0,1.0,1.0,1.0,3.0,0.0,5.0,5.0,7.199999999999999,45.0,0.0,1.275,8.64,,Sempre,Sempre,Nunca,Sempre,Normalmente,,,Nunca,Nunca,Nunca,Nunca,Nunca,Sempre,Sempre,Sempre,Sempre,Geladeira|Notebook|Lâmpada LED,Refrigeração,0,0.0,0,0.0,0,0.0,4,0.0,0,0.0,0,0.0,3,8.64,1,6.77,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.52
52643,Norte,RR,Boa Vista,1.0,2.0,2.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,8.549999999999999,45.0,0.0233333333333333,0.0,0.0,,Sempre,Sempre,Sempre,Sempre,Sempre,,,Sempre,Nunca,Nunca,Nunca,Nunca,Raramente,Sempre,Sempre,Sempre,Geladeira|Lâmpada Fluorescente|Lâmpada LED,Refrigeração,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52647,Norte,RR,Boa Vista,1.0,1.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.38,45.0,54.99,0.0,0.0,486.0,Sempre,Sempre,Sempre,Sempre,Sempre,,,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Geladeira|Ventilador|Ventilador de Teto,Refrigeração,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.0,0,0.0,1,6.77,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52649,Norte,RR,Boa Vista,1.0,1.0,1.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,5.4,45.0,9.87,0.0,0.0,,Sempre,Sempre,Sempre,Sempre,Sempre,,,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1,2.18,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52651,Norte,RR,Boa Vista,1.0,0.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,13.71,45.0,53.298,0.0,0.24,,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Normalmente,Sempre,Sempre,Sempre,Sempre,Sempre,Fogão Elétrico|Ventilador|Geladeira,Eletrodomésticos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.86,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,58.8
52652,Norte,RR,Boa Vista,1.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,15.36,45.0,24.696000000000005,0.0,3.384,,Sempre,Sempre,Sempre,,,,,Normalmente,Normalmente,Raramente,Nunca,Raramente,Normalmente,Sempre,Normalmente,Normalmente,Geladeira|Freezer|Ventilador,Refrigeração,1,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52654,Norte,RR,Boa Vista,1.0,1.0,1.0,10.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,18.0,45.0,37.242,1.489666666666667,3.384,,Sempre,Sempre,Raramente,Raramente,Raramente,,,Raramente,Nunca,Nunca,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,0,0.0,0,0.0,0,0.0,1,1.71,0,0.0,0,0.0,0,0.0,1,6.77,1,0.0,1,1.49,0,0.0,1,0.2,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52655,Norte,RR,Boa Vista,1.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,30.6,45.0,19.74,0.0,0.0,,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Geladeira|Lâmpada Incandescente|Ventilador,Refrigeração,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52656,Norte,RR,Boa Vista,1.0,0.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,24.3,45.0,0.5786083333333334,0.41,1.308,,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Nunca,Sempre,Sempre,Sempre,Normalmente,Normalmente,Geladeira|Fogão Elétrico|Lâmpada Fluorescente,Refrigeração,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,42.77
