ENTREVISTA,REGIAO,UF,MUNICIPIO,qtd_geladeira,qtd_ar_condicionado,qtd_ventilador,qtd_lampadas,qtd_microondas,qtd_air_fryer,qtd_lavar_secar,qtd_computadores,qtd_videogame,qtd_tv,qtd_chuveiro_eletrico,kwh_geladeira,kwh_ar_condicionado,kwh_ventilador,kwh_iluminacao,kwh_microondas,kwh_air_fryer,kwh_lavar_secar,kwh_computadores,kwh_videogame,kwh_tv,kwh_chuveiro_eletrico,kwh_categoria_iluminacao,kwh_categoria_refrigeracao,kwh_categoria_climatizacao,kwh_categoria_eletrodomesticos,kwh_categoria_tecnologia,consumo_real_medio_kwh_mes,fonte_energia,fonte_propria_energia,habito_compra_consciente,habito_desliga_tv_sem_uso,habito_evita_standby,habito_ac_portas_fechadas,habito_ac_desliga_ausencia,habito_evita_banho_longo,habito_chuveiro_posicao_verao,habito_geladeira_porta_fechada,habito_geladeira_alimentos_frios,habito_geladeira_termostato,habito_geladeira_nao_seca_roupa,habito_geladeira_borracha_vedacao,habito_lava_roupa_carga_maxima,habito_prefere_lampada_led,habito_evita_luz_dia,habito_apaga_luz_ambiente_vazio
52641,Norte,RR,Boa Vista,1.0,2.0,1.0,17.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,45.0,0.0,4.1160000000000005,9.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.54,45.0,4.1160000000000005,0.0,0.0,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,Sempre,Sempre,,,Sempre,Nunca,Nunca,Nunca,Nunca,Sempre,Raramente,Raramente,Sempre
52642,Norte,RR,Boa Vista,1.0,4.0,0.0,24.0,1.0,1.0,1.0,3.0,0.0,5.0,5.0,45.0,0.0,0.0,7.199999999999999,0.19999999999999998,1.075,0.0,8.64,0.0,0.0,0.0,7.199999999999999,45.0,0.0,1.275,8.64,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Nunca,Sempre,Normalmente,,,Nunca,Nunca,Nunca,Nunca,Nunca,Sempre,Sempre,Sempre,Sempre
52643,Norte,RR,Boa Vista,1.0,2.0,2.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,45.0,0.0,0.023333333333333334,8.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.549999999999999,45.0,0.023333333333333334,0.0,0.0,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,Sempre,Sempre,,,Sempre,Nunca,Nunca,Nunca,Nunca,Raramente,Sempre,Sempre,Sempre
52647,Norte,RR,Boa Vista,1.0,1.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,45.0,0.0,54.989999999999995,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,45.0,54.989999999999995,0.0,0.0,486.0,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,Sempre,Sempre,,,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre
52649,Norte,RR,Boa Vista,1.0,1.0,1.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,45.0,0.0,9.870000000000001,5.3999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3999999999999995,45.0,9.870000000000001,0.0,0.0,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,Sempre,Sempre,,,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre
52651,Norte,RR,Boa Vista,1.0,0.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,45.0,0.0,53.298,13.71,0.0,0.0,0.0,0.0,0.0,0.24,0.0,13.71,45.0,53.298,0.0,0.24,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Normalmente,Sempre,Sempre,Sempre,Sempre,Sempre
52652,Norte,RR,Boa Vista,1.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,45.0,0.0,24.696000000000005,15.360000000000001,0.0,0.0,0.0,0.0,0.0,3.384,0.0,15.360000000000001,45.0,24.696000000000005,0.0,3.384,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Normalmente,Normalmente,Raramente,Nunca,Raramente,Normalmente,Sempre,Normalmente,Normalmente
52654,Norte,RR,Boa Vista,1.0,1.0,1.0,10.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,45.0,1.71,35.532000000000004,18.0,0.0,0.0,1.489666666666667,0.0,0.0,3.384,0.0,18.0,45.0,37.242000000000004,1.489666666666667,3.384,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Raramente,Raramente,Raramente,,,Raramente,Nunca,Nunca,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre
52655,Norte,RR,Boa Vista,1.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,45.0,0.0,19.740000000000002,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,45.0,19.740000000000002,0.0,0.0,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre
52656,Norte,RR,Boa Vista,1.0,0.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,45.0,0.0,0.5786083333333334,24.3,0.41,0.0,0.0,0.0,0.0,1.308,0.0,24.3,45.0,0.5786083333333334,0.41,1.308,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Nunca,Sempre,Sempre,Sempre,Normalmente,Normalmente
52657,Norte,RR,Boa Vista,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,0.0,3.8150000000000004,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,45.0,3.8150000000000004,0.0,0.0,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre
52658,Norte,RR,Boa Vista,1.0,1.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,45.0,0.0,6.860000000000001,16.919999999999998,0.82,0.0,0.0,0.0,0.0,0.0,0.0,16.919999999999998,45.0,6.860000000000001,0.82,0.0,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,Sempre,Sempre,,,Sempre,Sempre,Nunca,Nunca,Nunca,Nunca,Sempre,Sempre,Sempre
52659,Norte,RR,Boa Vista,1.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,0.0,98.78400000000002,12.059999999999999,0.0,0.0,0.0,0.0,0.0,6.768,0.0,12.059999999999999,45.0,98.78400000000002,0.0,6.768,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Nunca,Sempre,Sempre,Raramente,Nunca,Sempre
52660,Norte,RR,Boa Vista,2.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,90.0,0.0,49.39200000000001,13.125,0.0,0.0,0.0,0.0,0.0,3.384,0.0,13.125,90.0,49.39200000000001,0.0,3.384,131.0,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Raramente,Raramente,Sempre,Sempre,Sempre,Normalmente,Sempre
52661,Norte,RR,Boa Vista,1.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,45.0,0.0,27.440000000000005,12.119999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.119999999999997,45.0,27.440000000000005,0.0,0.0,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Normalmente,Raramente,,,,,Normalmente,Raramente,Nunca,Nunca,Sempre,Nunca,Sempre,Sempre,Sempre
52663,Norte,RR,Boa Vista,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,45.0,0.0,53.298,4.14,0.0,0.0,0.0,0.0,0.0,67.67999999999999,0.0,4.14,45.0,53.298,0.0,67.67999999999999,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Raramente,,,,,Sempre,Raramente,Raramente,Raramente,Nunca,Raramente,Sempre,Sempre,Sempre
